method,uri,role,params,expectedStatus
GET,/treatment-service/laboratory-methods,USER,-,401
GET,/treatment-service/laboratory-methods,TREATMENT,-,200
GET,/treatment-service/laboratory-methods,ADMIN,-,200
GET,/treatment-service/laboratory-methods/1,USER,id:1,401
GET,/treatment-service/laboratory-methods/9999,USER,id:9999,401
GET,/treatment-service/laboratory-methods/1,TREATMENT,id:1,200
GET,/treatment-service/laboratory-methods/9999,TREATMENT,id:9999,404
GET,/treatment-service/laboratory-methods/1,ADMIN,id:1,200
GET,/treatment-service/laboratory-methods/9999,ADMIN,id:9999,404
GET,/treatment-service/laboratory-methods/name/Microscopía directa,USER,name:Microscopía directa,401
GET,/treatment-service/laboratory-methods/name/Unknown Method,USER,name:UnknownMethod,401
GET,/treatment-service/laboratory-methods/name/Microscopía directa,TREATMENT,name:Microscopía directa,200
GET,/treatment-service/laboratory-methods/name/Unknown Method,TREATMENT,name:UnknownMethod,404
GET,/treatment-service/laboratory-methods/name/Microscopía directa,ADMIN,name:Microscopía directa,200
GET,/treatment-service/laboratory-methods/name/Unknown Method,ADMIN,name:UnknownMethod,404
POST,/treatment-service/laboratory-methods,USER,-,401
POST,/treatment-service/laboratory-methods,TREATMENT,-,403
POST,/treatment-service/laboratory-methods,ADMIN,complete data,201
POST,/treatment-service/laboratory-methods,ADMIN,incomplete data,400
POST,/treatment-service/laboratory-methods,ADMIN,data exists,409
PATCH,/treatment-service/laboratory-methods/1,USER,-,401
PATCH,/treatment-service/laboratory-methods/1,TREATMENT,-,403
PATCH,/treatment-service/laboratory-methods/1,ADMIN,complete data,200
PATCH,/treatment-service/laboratory-methods/1,ADMIN,incomplete data,400
DELETE,/treatment-service/laboratory-methods/1,USER,-,401
DELETE,/treatment-service/laboratory-methods/1,TREATMENT,-,403
DELETE,/treatment-service/laboratory-methods/1,ADMIN,id:1,200
DELETE,/treatment-service/laboratory-methods/9999,ADMIN,id:9999,404
