method,uri,role,params,expectedStatus
GET,/biodata-service/parasites,USER,-,200
GET,/biodata-service/parasites,TREATMENT,-,200
GET,/biodata-service/parasites,ADMIN,-,200
GET,/biodata-service/parasites/1,USER,parasiteId:1,200
GET,/biodata-service/parasites/9999,USER,parasiteId:9999,404
GET,/biodata-service/parasites/1,TREATMENT,parasiteId:1,200
GET,/biodata-service/parasites/9999,TREATMENT,parasiteId:9999,404
GET,/biodata-service/parasites/1,ADMIN,parasiteId:1,200
GET,/biodata-service/parasites/9999,ADMIN,parasiteId:9999,404
GET,/biodata-service/parasites/sn/Parasiticus testus,USER,scientificName:Parasiticus testus,200
GET,/biodata-service/parasites/sn/Unknownus nonexistus,USER,scientificName:Unknownus nonexistus,404
GET,/biodata-service/parasites/sn/Parasiticus testus,TREATMENT,scientificName:Parasiticus testus,200
GET,/biodata-service/parasites/sn/Unknownus nonexistus,TREATMENT,scientificName:Unknownus nonexistus,404
GET,/biodata-service/parasites/sn/Parasiticus testus,ADMIN,scientificName:Parasiticus testus,200
GET,/biodata-service/parasites/sn/Unknownus nonexistus,ADMIN,scientificName:Unknownus nonexistus,404
GET,/biodata-service/parasites/fetch/Parasiticus testus,USER,-,401
GET,/biodata-service/parasites/fetch/Parasiticus testus,TREATMENT,-,403
GET,/biodata-service/parasites/fetch/Clavellisa scombri,ADMIN,scientificName:Clavellisa scombri,200
GET,/biodata-service/parasites/fetch/Unknownus nonexistus,ADMIN,scientificName:Unknownus nonexistus,404
POST,/biodata-service/parasites,USER,-,401
POST,/biodata-service/parasites,TREATMENT,-,403
POST,/biodata-service/parasites,ADMIN,complete data,201
POST,/biodata-service/parasites,ADMIN,incomplete data,400
POST,/biodata-service/parasites,ADMIN,data exists,409
PATCH,/biodata-service/parasites/Parasiticus testus,USER,-,401
PATCH,/biodata-service/parasites/Parasiticus testus,TREATMENT,-,403
PATCH,/biodata-service/parasites/Parasiticus testus,ADMIN,complete data,200
PATCH,/biodata-service/parasites/Unknownus nonexistus,ADMIN,scientificName:Unknownus nonexistus,404
DELETE,/biodata-service/parasites/Parasiticus testus,USER,-,401
DELETE,/biodata-service/parasites/Parasiticus testus,TREATMENT,-,403
DELETE,/biodata-service/parasites/Parasiticus testus,ADMIN,scientificName:Parasiticus testus,200
DELETE,/biodata-service/parasites/Unknownus nonexistus,ADMIN,scientificName:Unknownus nonexistus,404
